Symbol,Name,Last Sale,Net Change,% Change,Market Cap
ORLY,"O'Reilly Automotive, Inc. Common Stock",$604.39,-2.99,-0.492%,"42,163,247,270"
SPG,"Simon Property Group, Inc. Common Stock",$127.93,2.30,1.831%,"42,030,044,419"
APH,Amphenol Corporation Common Stock,$70.15,1.54,2.245%,"41,922,742,758"
AIG,"American International Group, Inc. New Common Stock",$48.29,1.06,2.244%,"41,603,077,695"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$6.17,0.28,4.754%,"41,091,500,199"
E,ENI S.p.A. Common Stock,$22.92,0.51,2.276%,"40,941,418,989"
CTAS,Cintas Corporation Common Stock,$392.16,2.96,0.761%,"40,808,715,095"
KMI,"Kinder Morgan, Inc. Common Stock",$17.85,0.38,2.175%,"40,422,799,107"
WBA,"Walgreens Boots Alliance, Inc. Common Stock",$46.67,0.61,1.324%,"40,368,957,571"
BAX,Baxter International Inc. Common Stock,$80.27,-0.27,-0.335%,"40,363,929,478"
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock",$182.50,UNCH,--,"40,336,009,475"
EA,Electronic Arts Inc. Common Stock,$140.72,-0.35,-0.248%,"40,208,437,258"
PAYX,"Paychex, Inc. Common Stock",$111.39,0.93,0.842%,"40,081,484,307"
PRU,"Prudential Financial, Inc. Common Stock",$101.21,2.15,2.17%,"39,876,740,000"
DD,"DuPont de Nemours, Inc. Common Stock",$74.87,1.16,1.574%,"39,841,496,696"
SLB,Schlumberger N.V. Common Stock,$28.43,1.19,4.369%,"39,754,591,923"
BCS,Barclays PLC Common Stock,$9.30,0.36,4.027%,"39,520,053,488"
SRE,DBA Sempra Common Stock,$130.30,-1.62,-1.228%,"39,449,719,862"
PH,Parker-Hannifin Corporation Common Stock,$305.18,5.65,1.886%,"39,385,293,295"
ERIC,Ericsson American Depositary Shares,$11.76,0.16,1.379%,"39,207,840,000"
CDNS,"Cadence Design Systems, Inc. Common Stock",$140.76,0.97,0.694%,"39,168,581,400"
CNQ,Canadian Natural Resources Limited Common Stock,$32.73,1.27,4.037%,"38,779,715,010"
ALL,Allstate Corporation (The) Common Stock,$128.79,0.96,0.751%,"38,551,829,112"
MCHP,Microchip Technology Incorporated Common Stock,$140.66,3.63,2.649%,"38,546,486,655"
DFS,Discover Financial Services Common Stock,$125.55,4.27,3.521%,"38,278,629,015"
TRV,"The Travelers Companies, Inc. Common Stock",$151.84,0.75,0.496%,"38,182,486,141"
CRH,CRH PLC American Depositary Shares,$48.85,0.97,2.026%,"38,170,371,380"
PANW,"Palo Alto Networks, Inc. Common Stock",$391.82,-9.17,-2.287%,"38,159,693,818"
PPG,"PPG Industries, Inc. Common Stock",$159.77,1.28,0.808%,"37,880,057,669"
OKTA,"Okta, Inc. Class A Common Stock",$247.25,0.91,0.369%,"37,841,454,507"
LVS,Las Vegas Sands Corp. Common Stock,$49.42,1.64,3.432%,"37,756,373,544"
PTON,"Peloton Interactive, Inc. Class A Common Stock",$126.43,0.08,0.063%,"37,713,218,505"
SYY,Sysco Corporation Common Stock,$73.27,0.60,0.826%,"37,483,605,740"
MFC,Manulife Financial Corporation Common Stock,$19.29,0.57,3.045%,"37,460,901,665"
OTIS,Otis Worldwide Corporation Common Stock ,$86.81,0.71,0.825%,"37,253,940,637"
MSI,"Motorola Solutions, Inc. Common Stock",$219.42,0.84,0.384%,"37,228,483,443"
GOLD,Barrick Gold Corporation Common Stock (BC),$20.90,0.18,0.869%,"37,167,961,069"
RMD,ResMed Inc. Common Stock,$255.37,0.12,0.047%,"37,160,888,758"
HSY,The Hershey Company Common Stock,$178.02,-2.26,-1.254%,"36,849,508,563"
WELL,Welltower Inc. Common Stock,$87.99,-0.03,-0.034%,"36,737,628,795"
RSG,"Republic Services, Inc. Common Stock",$114.88,-0.22,-0.191%,"36,650,558,256"
AFL,AFLAC Incorporated Common Stock,$53.88,0.90,1.699%,"36,620,470,568"
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$2.88,0.03,1.053%,"36,509,185,613"
SBAC,SBA Communications Corporation Class A Common Stock,$331.96,-3.34,-0.996%,"36,298,045,367"
XEL,Xcel Energy Inc. Common Stock,$67.06,-1.10,-1.614%,"36,092,148,008"
IFF,"Internationa Flavors & Fragrances, Inc. Common Stock",$144.98,1.19,0.828%,"36,088,403,912"
GIS,"General Mills, Inc. Common Stock",$58.99,-0.93,-1.552%,"35,819,341,968"
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$67.75,0.14,0.207%,"35,732,155,141"
TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock,$648.85,12.17,1.911%,"35,616,766,337"
PXD,Pioneer Natural Resources Company Common Stock,$145.09,6.14,4.419%,"35,395,053,861"
MPC,Marathon Petroleum Corporation Common Stock,$54.08,1.96,3.761%,"35,295,300,914"
TTD,"The Trade Desk, Inc. Class A Common Stock",$74.15,1.15,1.575%,"35,278,540,515"
XPEV,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",$43.87,3.11,7.63%,"35,242,254,815"
CSGP,"CoStar Group, Inc. Common Stock",$88.84,0.74,0.84%,"35,086,069,820"
CMI,Cummins Inc. Common Stock,$239.38,1.44,0.605%,"34,997,973,122"
HLT,Hilton Worldwide Holdings Inc. Common Stock ,$124.93,4.03,3.333%,"34,797,217,889"
GLW,Corning Incorporated Common Stock,$40.86,0.75,1.87%,"34,786,440,156"
YUM,"Yum! Brands, Inc.",$116.77,0.61,0.525%,"34,785,917,636"
ALC,Alcon Inc. Ordinary Shares,$69.61,0.47,0.68%,"34,784,117,000"
STM,STMicroelectronics N.V. Common Stock,$38.51,1.57,4.25%,"34,773,540,139"
ROK,"Rockwell Automation, Inc. Common Stock",$298.29,2.37,0.801%,"34,624,517,352"
FRC,FIRST REPUBLIC BANK Common Stock,$196.09,2.62,1.354%,"34,572,031,590"
CHWY,"Chewy, Inc. Class A Common Stock",$83.20,0.50,0.605%,"34,562,709,043"
KKR,KKR & Co. Inc. Common Stock,$59.38,0.82,1.40%,"34,546,021,878"
AZO,"AutoZone, Inc. Common Stock",$1591.25,-10.50,-0.656%,"34,283,086,620"
HPQ,HP Inc. Common Stock,$28.52,0.31,1.099%,"34,259,806,803"
CPRT,"Copart, Inc. (DE) Common Stock",$144.40,0.95,0.662%,"34,161,935,111"
NTR,Nutrien Ltd. Common Shares,$59.67,1.09,1.861%,"34,024,317,745"
NET,"Cloudflare, Inc. Class A Common Stock",$109.52,1.84,1.709%,"34,019,760,396"
DDOG,"Datadog, Inc. Class A Common Stock",$108.39,0.87,0.809%,"33,425,682,037"
MTD,"Mettler-Toledo International, Inc. Common Stock",$1432.79,-10.62,-0.736%,"33,340,193,715"
XLNX,"Xilinx, Inc. Common Stock",$135.33,4.23,3.227%,"33,274,499,089"
ZBH,"Zimmer Biomet Holdings, Inc. Common Stock",$159.57,3.94,2.532%,"33,267,488,857"
LBRDK,Liberty Broadband Corporation Class C Common Stock,$174.39,-0.33,-0.189%,"33,009,406,965"
SWK,"Stanley Black & Decker, Inc. Common Stock",$204.26,0.32,0.157%,"32,986,921,107"
DHI,"D.R. Horton, Inc. Common Stock",$91.47,2.41,2.706%,"32,973,428,215"
NOK,Nokia Corporation Sponsored American Depositary Shares,$5.80,-0.01,-0.172%,"32,650,119,800"
WCN,"Waste Connections, Inc. Common Shares",$124.18,0.56,0.453%,"32,496,003,190"
ADM,Archer-Daniels-Midland Company Common Stock,$58.10,0.07,0.121%,"32,460,592,591"
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$97.08,2.08,2.189%,"32,459,082,631"
PSX,Phillips 66 Common Stock,$73.76,2.63,3.697%,"32,297,073,903"
MT,Arcelor Mittal NY Registry Shares NEW,$31.48,1.29,4.273%,"32,135,490,726"
LBRDA,Liberty Broadband Corporation Class A Common Stock,$168.87,-0.19,-0.112%,"31,964,553,897"
PATH,"UiPath, Inc. Class A Common Stock",$62.80,0.52,0.835%,"31,954,585,042"
SWKS,"Skyworks Solutions, Inc. Common Stock",$193.00,3.58,1.89%,"31,862,858,676"
AVB,"AvalonBay Communities, Inc. Common Stock",$228.18,-0.56,-0.245%,"31,854,986,071"
NDAQ,"Nasdaq, Inc. Common Stock",$186.28,5.38,2.974%,"31,722,242,071"
SU,Suncor Energy  Inc. Common Stock,$21.04,0.65,3.188%,"31,696,427,442"
EQR,Equity Residential Common Shares of Beneficial Interest,$84.71,-0.17,-0.20%,"31,681,995,655"
ZS,"Zscaler, Inc. Common Stock",$231.06,1.95,0.851%,"31,652,221,072"
CHT,"Chunghwa Telecom Co., Ltd.",$40.80,0.10,0.246%,"31,650,381,883"
AME,"AMETEK, Inc.",$137.02,0.29,0.212%,"31,640,545,496"
OXY,Occidental Petroleum Corporation Common Stock,$27.18,1.81,7.134%,"31,536,847,101"
LUV,Southwest Airlines Company Common Stock,$53.13,1.70,3.305%,"31,419,837,483"
LEN,Lennar Corporation Class A Common Stock,$100.60,2.10,2.132%,"31,418,987,689"
VFC,V.F. Corporation Common Stock,$79.93,1.76,2.252%,"31,361,032,025"
NWG,NatWest Group plc American Depositary Shares,$5.49,0.23,4.373%,"31,275,853,945"
FERG,Ferguson plc Ordinary Shares,$140.53,1.35,0.97%,"31,267,366,253"
SIVB,SVB Financial Group Common Stock,$574.00,12.35,2.199%,"31,176,890,360"
FAST,Fastenal Company Common Stock,$54.24,0.09,0.166%,"31,173,864,676"
CTVA,"Corteva, Inc. Common Stock ",$42.21,0.48,1.15%,"31,113,033,210"
EFX,"Equifax, Inc. Common Stock",$255.04,-1.54,-0.60%,"31,039,012,231"
EPAM,"EPAM Systems, Inc. Common Stock",$548.24,3.09,0.567%,"30,923,348,912"
ANSS,"ANSYS, Inc. Common Stock",$354.38,3.51,1.00%,"30,884,774,440"
WMB,"Williams Companies, Inc. (The) Common Stock",$25.28,0.25,0.999%,"30,709,192,259"
PCAR,PACCAR Inc. Common Stock,$88.15,0.06,0.068%,"30,601,836,396"
MCK,McKesson Corporation Common Stock,$197.54,3.18,1.636%,"30,552,861,498"
W,Wayfair Inc. Class A Common Stock,$292.21,-5.56,-1.867%,"30,448,076,576"
PEG,Public Service Enterprise Group Incorporated Common Stock,$60.05,-0.62,-1.022%,"30,354,056,345"
VRSK,"Verisk Analytics, Inc. Common Stock",$187.09,-0.34,-0.181%,"30,325,643,731"
LI,Li Auto Inc. American Depositary Shares,$33.41,2.68,8.721%,"30,224,161,219"
KR,Kroger Company (The) Common Stock,$40.11,-0.46,-1.134%,"29,971,719,349"
SLF,Sun Life Financial Inc. Common Stock,$51.08,1.01,2.017%,"29,913,155,100"
ORAN,Orange,$11.23,0.10,0.898%,"29,859,376,071"
TU,Telus Corporation Ordinary Shares,$21.99,0.09,0.411%,"29,796,450,000"
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$83.00,1.26,1.541%,"29,699,278,041"
AWK,"American Water Works Company, Inc. Common Stock",$163.49,-3.21,-1.926%,"29,668,398,854"
ODFL,"Old Dominion Freight Line, Inc. Common Stock",$254.41,1.37,0.541%,"29,502,569,914"
STT,State Street Corporation Common Stock,$85.13,2.32,2.802%,"29,242,420,095"
GRMN,Garmin Ltd. Common Stock (Switzerland),$151.97,2.16,1.442%,"29,200,223,220"
KEYS,Keysight Technologies Inc. Common Stock,$158.46,1.87,1.194%,"29,192,449,742"
AMP,"Ameriprise Financial, Inc. Common Stock",$251.12,5.30,2.156%,"29,106,033,214"
WEC,"WEC Energy Group, Inc. Common Stock",$92.10,-1.72,-1.833%,"29,051,520,305"
AJG,Arthur J. Gallagher & Co. Common Stock,$140.85,1.58,1.134%,"29,048,478,633"
VIACA,ViacomCBS Inc. Class A Common Stock,$44.93,0.68,1.537%,"29,037,981,737"
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,$224.62,4.92,2.239%,"28,970,758,034"
U,Unity Software Inc. Common Stock,$103.31,3.15,3.145%,"28,866,605,189"
GMAB,Genmab A/S ADS,$44.15,0.37,0.845%,"28,860,637,782"
CBRE,CBRE Group Inc Common Stock Class A,$85.96,2.10,2.504%,"28,853,109,244"
ES,Eversource Energy (D/B/A) Common Stock,$83.78,-2.16,-2.513%,"28,775,595,052"
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",$195.00,-0.03,-0.015%,"28,763,729,475"
FNV,Franco-Nevada Corporation,$149.90,0.88,0.591%,"28,634,407,360"
ZBRA,Zebra Technologies Corporation Class A Common Stock,$533.77,14.10,2.713%,"28,562,702,581"
MPLX,MPLX LP Common Units Representing Limited Partner Interests,$27.52,-0.09,-0.326%,"28,332,584,471"
BGNE,"BeiGene, Ltd. American Depositary Shares",$306.62,-10.77,-3.393%,"28,325,879,391"
GNRC,Generac Holdlings Inc. Common Stock,$447.34,10.92,2.502%,"28,162,083,476"
ANET,"Arista Networks, Inc. Common Stock",$367.17,3.48,0.957%,"28,023,080,814"
ZG,"Zillow Group, Inc. Class A Common Stock",$112.69,3.73,3.423%,"27,908,534,155"
NUE,Nucor Corporation Common Stock,$92.90,1.38,1.508%,"27,799,577,527"
BBY,"Best Buy Co., Inc. Common Stock",$110.78,0.17,0.154%,"27,747,398,165"
DISCB,"Discovery, Inc. Series B Common Stock",$54.75,0.20,0.367%,"27,671,055,533"
Z,"Zillow Group, Inc. Class C Capital Stock",$111.66,3.67,3.398%,"27,653,446,834"
YUMC,"Yum China Holdings, Inc. Common Stock",$65.19,0.55,0.851%,"27,418,828,406"
SYF,Synchrony Financial Common Stock,$47.14,1.14,2.478%,"27,416,569,648"
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$60.08,1.36,2.316%,"27,387,651,304"
O,Realty Income Corporation Common Stock,$70.18,-0.07,-0.10%,"27,325,887,787"
HUBS,"HubSpot, Inc. Common Stock",$584.49,7.74,1.342%,"27,310,748,814"
WST,"West Pharmaceutical Services, Inc. Common Stock",$367.95,-4.74,-1.272%,"27,163,430,783"
BLL,Ball Corporation Common Stock,$82.70,-1.72,-2.037%,"27,146,648,887"
EC,Ecopetrol S.A. American Depositary Shares,$13.19,0.48,3.777%,"27,116,460,141"
LH,Laboratory Corporation of America Holdings Common Stock,$277.49,0.71,0.257%,"27,110,773,000"
ET,Energy Transfer LP Common Units ,$9.97,0.20,2.047%,"26,964,623,996"
CVNA,Carvana Co. Class A Common Stock,$331.70,6.36,1.955%,"26,858,422,683"
MXIM,"Maxim Integrated Products, Inc. Common Stock",$100.07,2.55,2.615%,"26,855,150,856"
CCL,Carnival Corporation Common Stock,$23.19,2.00,9.438%,"26,853,024,361"
SIRI,Sirius XM Holdings Inc. Common Stock,$6.55,0.02,0.306%,"26,794,517,686"
VIAC,ViacomCBS Inc. Class B Common Stock,$41.30,0.91,2.253%,"26,691,935,138"
DAL,"Delta Air Lines, Inc. Common Stock",$41.61,0.95,2.336%,"26,626,858,074"
VLO,Valero Energy Corporation Common Stock,$64.91,2.34,3.74%,"26,532,622,310"
MGA,"Magna International, Inc. Common Stock",$87.22,1.19,1.383%,"26,297,998,312"
TSN,"Tyson Foods, Inc. Common Stock",$71.47,0.13,0.182%,"26,071,057,663"
SGEN,Seagen Inc. Common Stock,$143.60,-1.70,-1.17%,"26,060,108,114"
VRSN,"VeriSign, Inc. Common Stock",$230.13,0.70,0.305%,"25,916,965,365"
FITB,Fifth Third Bancorp Common Stock,$36.88,0.92,2.558%,"25,893,659,027"
RCI,"Rogers Communication, Inc. Common Stock",$51.26,-1.53,-2.898%,"25,882,471,801"
DB,Deutsche Bank AG Common Stock,$12.45,0.58,4.886%,"25,731,325,481"
ED,"Consolidated Edison, Inc. Common Stock",$72.78,-0.79,-1.074%,"25,696,565,750"
HRL,Hormel Foods Corporation Common Stock,$47.17,-0.70,-1.462%,"25,569,673,316"
WY,Weyerhaeuser Company Common Stock,$34.08,0.43,1.278%,"25,533,247,200"
CAJ,"Canon, Inc. American Depositary Shares",$24.05,-0.72,-2.907%,"25,150,856,162"
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$41.31,0.08,0.194%,"25,082,285,771"
ETSY,"Etsy, Inc. Common Stock",$195.80,0.93,0.477%,"24,886,688,688"
TEF,Telefonica SA Common Stock,$4.41,0.12,2.797%,"24,863,815,966"
CDW,CDW Corporation Common Stock,$177.25,1.01,0.573%,"24,851,077,642"
ABC,AmerisourceBergen Corporation Common Stock,$118.22,1.73,1.485%,"24,520,094,964"
KSU,Kansas City Southern Common Stock,$269.37,3.42,1.286%,"24,503,151,542"
YNDX,Yandex N.V. Class A Ordinary Shares,$69.80,1.23,1.794%,"24,435,194,516"
ENPH,"Enphase Energy, Inc. Common Stock",$179.79,7.70,4.474%,"24,397,303,253"
RNG,"RingCentral, Inc. Class A Common Stock",$267.75,0.86,0.322%,"24,331,248,428"
CUK,Carnival Plc ADS ADS,$20.88,1.93,10.185%,"24,183,433,653"
ZTO,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",$29.09,0.19,0.657%,"24,061,139,208"
CS,Credit Suisse Group American Depositary Shares,$10.11,0.30,3.058%,"23,900,143,506"
EXPE,"Expedia Group, Inc. Common Stock",$162.42,6.30,4.035%,"23,870,966,151"
GWW,"W.W. Grainger, Inc. Common Stock",$457.73,-1.80,-0.392%,"23,852,376,671"
OKE,"ONEOK, Inc. Common Stock",$53.46,1.08,2.062%,"23,818,385,139"
TDOC,"Teladoc Health, Inc. Common Stock",$153.32,-1.51,-0.975%,"23,691,892,130"
NTRS,Northern Trust Corporation Common Stock,$113.60,1.80,1.61%,"23,644,731,150"
DOV,Dover Corporation Common Stock,$164.09,1.95,1.203%,"23,617,026,062"
FMS,Fresenius Medical Care AG Common Stock,$40.29,0.43,1.079%,"23,600,926,724"
FTV,Fortive Corporation Common Stock ,$69.56,-0.24,-0.344%,"23,547,836,215"
HES,Hess Corporation Common Stock,$76.30,2.06,2.775%,"23,532,551,141"
CERN,Cerner Corporation Common Stock,$77.69,-0.12,-0.154%,"23,409,323,013"
VMC,Vulcan Materials Company (Holding Company) Common Stock,$176.35,2.01,1.153%,"23,395,516,308"
URI,"United Rentals, Inc. Common Stock",$323.19,11.59,3.72%,"23,391,891,713"
PAYC,"Paycom Software, Inc. Common Stock",$383.02,4.43,1.17%,"23,051,396,841"
RYAAY,Ryanair Holdings plc American Depositary Shares,$102.10,2.00,1.998%,"23,045,706,211"
DLTR,Dollar Tree Inc. Common Stock,$99.09,0.08,0.081%,"22,984,309,176"
XP,XP Inc. Class A Common Stock,$41.06,0.65,1.609%,"22,954,961,103"
IP,International Paper Company Common Stock,$58.47,0.22,0.378%,"22,904,995,935"
WAT,Waters Corporation Common Stock,$370.67,-1.45,-0.39%,"22,870,523,594"
MKC,"McCormick & Company, Incorporated Common Stock",$85.56,-2.14,-2.44%,"22,867,634,804"
UMC,United Microelectronics Corporation (NEW) Common Stock,$9.16,-0.19,-2.032%,"22,757,106,730"
MDB,"MongoDB, Inc. Class A Common Stock",$351.16,8.82,2.576%,"22,699,014,004"
VTR,"Ventas, Inc. Common Stock",$60.40,0.32,0.533%,"22,661,936,248"
INVH,Invitation Homes Inc. Common Stock,$39.92,-0.33,-0.82%,"22,660,605,325"
SPLK,Splunk Inc. Common Stock,$137.05,-0.82,-0.595%,"22,464,876,244"
EXR,Extra Space Storage Inc Common Stock,$167.45,-3.20,-1.875%,"22,392,830,627"
HIG,"Hartford Financial Services Group, Inc. (The) Common Stock",$62.61,0.28,0.449%,"22,363,729,387"
GIB,CGI Inc. Common Stock,$90.12,0.01,0.011%,"22,343,281,904"
PKX,POSCO Common Stock,$73.25,1.12,1.553%,"22,304,763,296"
DTE,DTE Energy Company Common Stock,$115.04,-1.08,-0.93%,"22,286,395,609"
CLX,Clorox Company (The) Common Stock,$178.84,-3.55,-1.946%,"22,242,694,739"
ALB,Albemarle Corporation Common Stock,$190.22,2.97,1.586%,"22,202,825,742"
KMX,CarMax Inc,$135.93,1.55,1.153%,"22,147,762,298"
IT,"Gartner, Inc. Common Stock",$256.58,0.90,0.352%,"22,085,515,811"
DISH,DISH Network Corporation Class A Common Stock,$41.83,0.96,2.349%,"22,073,881,619"
XYL,Xylem Inc. Common Stock New,$122.43,0.90,0.741%,"22,042,491,864"
TLK,"PT Telekomunikasi Indonesia, Tbk",$22.23,0.22,1.00%,"22,021,530,750"
TRU,TransUnion Common Stock,$115.09,-0.34,-0.295%,"22,013,566,641"
MLM,"Martin Marietta Materials, Inc. Common Stock",$352.51,5.52,1.591%,"21,985,661,997"
CNHI,CNH Industrial N.V. Common Shares,$16.16,0.50,3.193%,"21,884,558,881"
APP,Applovin Corporation Class A Common Stock,$59.83,-1.02,-1.676%,"21,818,362,795"
EXPD,"Expeditors International of Washington, Inc. Common Stock",$128.94,0.32,0.249%,"21,776,136,599"
BURL,"Burlington Stores, Inc. Common Stock",$325.88,7.15,2.243%,"21,697,142,541"
LU,"Lufax Holding Ltd American Depositary Shares, two of which representing one Ordinary Share",$8.79,-0.02,-0.227%,"21,643,626,845"
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$96.17,1.94,2.059%,"21,615,991,550"
PPL,PPL Corporation Common Stock,$28.09,-0.11,-0.39%,"21,613,229,121"
QRVO,"Qorvo, Inc. Common Stock",$194.07,4.37,2.304%,"21,592,672,038"
K,Kellogg Company Common Stock,$63.31,-1.09,-1.693%,"21,556,823,032"
ESS,"Essex Property Trust, Inc. Common Stock",$330.53,-0.20,-0.06%,"21,484,089,722"
AVTR,"Avantor, Inc. Common Stock",$36.84,-0.31,-0.834%,"21,445,972,135"
LNG,"Cheniere Energy, Inc. Common Stock",$84.36,0.76,0.909%,"21,388,409,243"
TER,"Teradyne, Inc. Common Stock",$128.46,4.68,3.781%,"21,358,571,596"
FUTU,Futu Holdings Limited American Depositary Shares,$145.48,7.53,5.458%,"21,337,902,352"
EIX,Edison International Common Stock,$56.20,-0.65,-1.143%,"21,324,418,579"
MAA,"Mid-America Apartment Communities, Inc. Common Stock",$185.76,-0.87,-0.466%,"21,267,064,996"
IX,Orix Corp Ads Common Stock,$87.56,1.29,1.495%,"21,262,998,951"
FLT,"FleetCor Technologies, Inc. Common Stock",$254.83,4.24,1.692%,"21,239,968,375"
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",$180.09,-3.08,-1.681%,"21,168,686,254"
SUI,"Sun Communities, Inc. Common Stock",$186.59,-0.67,-0.358%,"21,155,320,064"
AEE,Ameren Corporation Common Stock,$82.30,-1.68,-2.00%,"21,031,980,544"
FOXA,Fox Corporation Class A Common Stock,$36.19,1.22,3.489%,"20,997,713,370"
STE,STERIS plc (Ireland) Ordinary Shares,$209.85,1.50,0.72%,"20,917,179,208"
TSCO,Tractor Supply Company Common Stock,$181.15,-2.49,-1.356%,"20,878,619,690"
FTS,Fortis Inc. Common Shares,$44.45,0.09,0.203%,"20,864,830,000"
CHD,"Church & Dwight Company, Inc. Common Stock",$84.94,-2.05,-2.357%,"20,831,186,916"
HBAN,Huntington Bancshares Incorporated Common Stock,$14.05,0.32,2.331%,"20,752,593,568"
TRMB,Trimble Inc. Common Stock,$82.44,1.75,2.169%,"20,689,560,618"
TDY,Teledyne Technologies Incorporated Common Stock,$442.38,5.91,1.354%,"20,588,527,111"
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$52.34,-0.16,-0.305%,"20,483,768,373"
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",$40.78,-2.31,-5.361%,"20,462,598,187"
FE,FirstEnergy Corp. Common Stock,$37.54,-0.08,-0.213%,"20,418,022,217"
LOGI,Logitech International S.A. Ordinary Shares,$121.18,3.15,2.669%,"20,411,556,534"
IR,Ingersoll Rand Inc. Common Stock,$48.63,0.48,0.997%,"20,397,989,713"
CQP,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units",$42.07,-1.28,-2.953%,"20,362,768,645"
TW,Tradeweb Markets Inc. Class A Common Stock,$87.61,0.80,0.922%,"20,345,197,294"
ETR,Entergy Corporation Common Stock,$101.15,-1.20,-1.172%,"20,296,753,740"
TXG,"10x Genomics, Inc. Class A Common Stock",$184.06,2.08,1.143%,"20,209,657,133"
EXAS,Exact Sciences Corporation Common Stock,$117.77,0.44,0.375%,"20,203,520,051"
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock,$78.90,4.01,5.355%,"20,085,624,837"
LB,"L Brands, Inc.",$75.76,1.30,1.746%,"20,057,353,936"
AGR,"Avangrid, Inc. Common Stock",$51.49,-0.87,-1.662%,"19,936,459,750"
WPM,Wheaton Precious Metals Corp Common Shares (Canada),$44.15,0.54,1.238%,"19,869,666,573"
TTWO,"Take-Two Interactive Software, Inc. Common Stock",$170.90,0.88,0.518%,"19,853,670,727"
IMO,Imperial Oil Limited Common Stock,$26.98,0.44,1.658%,"19,805,390,850"
TYL,"Tyler Technologies, Inc. Common Stock",$485.68,-1.61,-0.33%,"19,785,972,787"
COO,"The Cooper Companies, Inc. Common Stock",$401.50,-0.82,-0.204%,"19,773,050,319"
TME,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",$11.67,0.12,1.039%,"19,752,313,711"
WDC,Western Digital Corporation Common Stock,$64.45,-0.19,-0.294%,"19,750,888,503"
BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",$663.05,-5.37,-0.803%,"19,734,764,263"
BR,"Broadridge Financial Solutions, Inc.Common Stock",$169.70,0.55,0.325%,"19,706,529,254"
FOX,Fox Corporation Class B Common Stock,$33.88,1.01,3.073%,"19,657,433,793"
NVCR,NovoCure Limited Ordinary Shares,$190.00,0.50,0.264%,"19,648,539,730"
DKNG,DraftKings Inc. Class A Common Stock,$48.88,3.06,6.678%,"19,632,355,103"
CZR,"Caesars Entertainment, Inc. Common Stock",$93.99,2.69,2.946%,"19,615,583,576"
SKM,"SK Telecom Co., Ltd. Common Stock",$30.55,-0.96,-3.047%,"19,585,203,970"
MGM,MGM Resorts International Common Stock,$39.86,1.47,3.829%,"19,552,753,241"
PEAK,"Healthpeak Properties, Inc. Common Stock",$36.13,0.13,0.361%,"19,471,677,435"
ALLY,Ally Financial Inc. Common Stock,$52.52,1.62,3.183%,"19,468,143,694"
CRL,"Charles River Laboratories International, Inc. Common Stock",$385.77,0.29,0.075%,"19,386,028,057"
UI,Ubiquiti Inc. Common Stock,$308.49,1.07,0.348%,"19,377,529,730"
CTLT,"Catalent, Inc. Common Stock",$113.54,0.85,0.754%,"19,340,579,928"
QSR,Restaurant Brands International Inc. Common Shares,$63.62,0.87,1.386%,"19,284,065,538"
AKAM,"Akamai Technologies, Inc. Common Stock",$117.62,0.08,0.068%,"19,171,081,990"
WMG,Warner Music Group Corp. Class A Common Stock,$37.04,0.19,0.516%,"19,052,734,430"
SSNC,"SS&C Technologies Holdings, Inc. Common Stock",$74.30,0.54,0.732%,"19,003,903,214"
DRI,"Darden Restaurants, Inc. Common Stock",$145.00,3.13,2.206%,"18,972,187,730"
DRE,Duke Realty Corporation Common Stock,$50.57,-0.50,-0.979%,"18,963,005,104"
CINF,Cincinnati Financial Corporation Common Stock,$117.64,0.47,0.401%,"18,951,407,788"
XM,Qualtrics International Inc. Class A Common Stock,$36.86,-0.94,-2.487%,"18,910,537,701"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$82.60,-2.89,-3.381%,"18,904,939,949"
PCG,Pacific Gas & Electric Co. Common Stock,$9.49,0.07,0.743%,"18,838,653,121"
KEY,KeyCorp Common Stock,$19.41,0.31,1.623%,"18,837,782,292"
ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",$8.74,0.11,1.275%,"18,819,348,330"
PAGS,PagSeguro Digital Ltd. Class A Common Shares,$57.13,1.82,3.291%,"18,796,077,874"
